545302080	Felis catus papillomavirus 4 isolate MY-3, complete genome
526245010	Paenibacillus phage phiIBB_Pl23, complete genome
460042095	Bacillus phage Curly, complete genome
526244636	Shigella phage SfII, complete genome
399498678	Streptococcus phage YMC-2011, complete genome
110804020	Clostridium phage phiSM101 chromosome, complete genome
273809542	Aggregatibacter phage S1249, complete genome
397912605	Thermoanaerobacterium phage THSA-485A, complete genome
9791176	Chlamydia phage CPAR39, complete genome
430025782	Macaca fascicularis polyomavirus 1, complete genome
542094470	Cebus albifrons polyomavirus 1, complete genome
526003444	Salmonella phage FSL SP-058, complete genome
525972736	Salmonella phage FSL SP-076, complete genome
548558394	Human endogenous retrovirus K113 complete genome
548894527	African elephant polyomavirus 1, complete genome
550455531	Wallal virus isolate 927 segment 1, complete sequence
550455548	Wallal virus isolate 927 segment 2, complete sequence
550455559	Wallal virus isolate 927 segment 3, complete sequence
550455573	Wallal virus isolate 927 segment 5, complete sequence
550455584	Wallal virus isolate 927 segment 7, complete sequence
550455592	Wallal virus isolate 927 segment 9, complete sequence
550455599	Wallal virus isolate 927 segment 10, complete sequence
550455607	Wallal virus isolate 927 segment 4, complete sequence
550455616	Wallal virus isolate 927 segment 6, complete sequence
550455624	Wallal virus isolate 927 segment 8, complete sequence
550455633	Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome
537711871	Tomato mottle mosaic virus isolate MX5, complete genome
498907904	Porcine stool-associated circular virus 2 isolate f, complete genome
498907907	Porcine stool-associated circular virus 3 isolate 3L7, complete genome
475155116	Sweet potato latent virus, complete genome
408905858	Bacillus phage B4, complete genome
509139223	Enterobacteria phage Chi, complete genome
113200771	Euphorbia mosaic virus - A [Mexico:Yucatan:2004] clone pEuMV-YP-A segment DNA-A, complete sequence
530787625	Pseudomonas phage MPK7, complete genome
510953439	Escherichia phage Lw1, complete genome
552558691	Drosophila obscura sigma virus 10A, complete genome
552558699	Eel Virus European X complete genome, viral cRNA, isolate 153311
446730228	Lactobacillus phage AQ113, complete genome
538602652	Feline astrovirus 2 strain 1637F, complete genome
113200776	Euphorbia mosaic virus-Yucatan Peninsula DNA B, complete sequence
529218053	Hemileuca sp. nucleopolyhedrovirus, complete genome
554499500	Sweet potato leaf curl China virus [China:Sichuan14:2012], complete genome
526178036	Staphylococcus phage SA12, complete genome
554505420	Murrumbidgee virus isolate 934 segment L, complete sequence
554505422	Murrumbidgee virus isolate 934 segment M, complete sequence
554505424	Murrumbidgee virus isolate 934 segment S, complete sequence
530547424	Blackberry vein banding associated virus isolate Mississippi1, complete genome
554967333	Pokeweed mosaic virus isolate PkMV-PA, complete genome
525972083	Vibrio phage vpms1, complete genome
448260147	Sulfolobus virus STSV2, complete genome
555928175	Halyomorpha halys virus isolate Beltsville, complete genome
555928177	Turkey adenovirus 4 isolate TNI1, complete genome
555928211	Turkey adenovirus 5 isolate 1277BT, complete genome
555928249	Dill cryptic virus 1 isolate IPP_hortorum segment 1, complete sequence
555928251	Dill cryptic virus 1 isolate IPP_hortorum segment 2, complete sequence
555928253	Red clover cryptic virus 1 isolate IPP_Nemaro segment 1 RNA-dependent RNA polymerase gene, complete cds
555928255	Red clover cryptic virus 1 isolate IPP_Nemaro segment 2 coat protein gene, complete cds
555928257	Rhizoctonia cerealis endornavirus 1, complete genome
555928259	Mobuck virus strain 12-2 segment 2, complete sequence
555928261	Mobuck virus strain 12-2 segment 4, complete sequence
555928263	Mobuck virus strain 12-2 segment 6, complete sequence
555928265	Mobuck virus strain 12-2 segment 7, complete sequence
555928267	Mobuck virus strain 12-2 segment 9, complete sequence
555928269	Mobuck virus strain 12-2 segment 10, complete sequence
555928271	Mobuck virus strain 12-2 segment 1, complete sequence
555928273	Mobuck virus strain 12-2 segment 3, complete sequence
555928275	Mobuck virus strain 12-2 segment 5, complete sequence
555928277	Mobuck virus strain 12-2 segment 8, complete sequence
555928279	Razdan virus strain LEIV-Arm2741 segment L, complete sequence
555928281	Razdan virus strain LEIV-Arm2741 segment M, complete sequence
526246204	Ustilaginoidea virens partitivirus 2 isolate Uv0901 segment 1, complete sequence
476572429	Enterobacteria phage JL1, complete genome
556195173	Razdan virus strain LEIV-Arm2741 segment S, complete sequence
556195176	Changuinola virus isolate CGLV/BE AN 28873 segment 2, complete sequence
556195178	Changuinola virus isolate CGLV/BE AN 28873 segment 5, complete sequence
556195180	Changuinola virus isolate CGLV/BE AN 28873 segment 7, complete sequence
